id,PVC_001_RAW,PVC_001_1_RAW,PVC_001_DIR,PVC_001_1_DIR,PVC_RAW_NA,PVC_DIR_NA
l718otr1d9,No,Si,No,Si,0,0
ld3zyo4e32,Si,NA,Si,NA,1,1
loaudn7e5x,No,No estoy seguro,No,No estoy seguro,0,0
lpzhvsyeyd,No,Si,No,Si,0,0
m3jcfwu8pf,Si,NA,Si,NA,1,1
m6s8gpnokc,Si,NA,Si,NA,1,1
m81yy8xu1v,Si,NA,Si,NA,1,1
m86u820c0d,Si,NA,Si,NA,1,1
mdazzxxxzv,No,No estoy seguro,No,No estoy seguro,0,0
mfex11day9,No,Si,No,Si,0,0
mxblx7zq49,Si,NA,Si,NA,1,1
narw3xkj0g,No,No estoy seguro,No,No estoy seguro,0,0
ndy1kjrt2x,No,Si,No,Si,0,0
nhpl9mxmjt,No,No,No,No,0,0
o04nf6v0nv,No,No,No,No,0,0
o3c4rl62a2,No,No estoy seguro,No,No estoy seguro,0,0
oakkqwsul4,No,No estoy seguro,No,No estoy seguro,0,0
oce5txv2mw,Si,NA,Si,NA,1,1
p4kyau28we,Si,NA,Si,NA,1,1
p5aooz09fr,Si,NA,Si,NA,1,1
p7tf9t3wdm,Si,NA,Si,NA,1,1
phk1orszsr,No,Si,No,Si,0,0
pjx4no33pr,Si,NA,Si,NA,1,1
pp74ytekor,Si,NA,Si,NA,1,1
pq7v2hw009,No,No,No,No,0,0
pruxnqgcbg,Si,NA,Si,NA,1,1
pwq2s8v657,No,Si,No,Si,0,0
q0vest97y2,No,No,No,No,0,0
q6ha3r44px,No,Si,No,Si,0,0
qmhcr11zof,No,No,No,No,0,0
qn3v3he69v,No,No estoy seguro,No,No estoy seguro,0,0
qra8ncc4q5,No,Si,No,Si,0,0
r1991ltgcs,Si,NA,Si,NA,1,1
r7jzy3ct3c,No,No estoy seguro,No,No estoy seguro,0,0
ra287f6aca,No,Si,No,Si,0,0
rbkhuu3vwq,No,Si,No,Si,0,0
rowh9jet2t,Si,NA,Si,NA,1,1
rqq545wznb,No,No estoy seguro,No,No estoy seguro,0,0
rshpl3827a,Si,NA,Si,NA,1,1
rz2oaw3guc,Si,NA,Si,NA,1,1
rzjwbgjhcs,Si,NA,Si,NA,1,1
s81pqwxoof,No,No estoy seguro,No,No estoy seguro,0,0
s95x85yw24,Si,NA,Si,NA,1,1
sbpyt6j1ha,Si,NA,Si,NA,1,1
t55y13od5j,Si,NA,Si,NA,1,1
t70dnfpakz,No,Si,No,Si,0,0
tg7qgqq1tj,Si,NA,Si,NA,1,1
tgn2znz5zz,Si,NA,Si,NA,1,1
tlemko8z97,Si,NA,Si,NA,1,1
ucn3bqr9on,Si,NA,Si,NA,1,1
ud2th5lzzu,No,No estoy seguro,No,No estoy seguro,0,0
v2avl317u0,Si,NA,Si,NA,1,1
vhy5bvt4fb,Si,NA,Si,NA,1,1
vlzy59ejug,Si,NA,Si,NA,1,1
vozlqe851u,No,Si,No,Si,0,0
vqdlvnygor,No,No estoy seguro,No,No estoy seguro,0,0
vro0gvd7yj,No,No estoy seguro,No,No estoy seguro,0,0
vtrywu4nrg,Si,NA,Si,NA,1,1
vtykzq1kqu,Si,NA,Si,NA,1,1
w5xlp96oau,No,No estoy seguro,No,No estoy seguro,0,0
wju0eu0xqf,Si,NA,Si,NA,1,1
wk2t8qcg3w,Si,NA,Si,NA,1,1
wk4xr8wsuk,Si,NA,Si,NA,1,1
wo5p37bj82,No,Si,No,Si,0,0
wtw44m4z52,Si,NA,Si,NA,1,1
wz66hmqsly,Si,NA,Si,NA,1,1
xc9bj6hzc0,Si,NA,Si,NA,1,1
xffngnrzht,No,No,No,No,0,0
xh39sayova,Si,NA,Si,NA,1,1
xmgtt4u6dz,Si,NA,Si,NA,1,1
xpg1oybll7,Si,NA,Si,NA,1,1
xyt9zsqdgv,Si,NA,Si,NA,1,1
y1hqhpozbj,No,No estoy seguro,No,No estoy seguro,0,0
y6pb1xwr9o,Si,NA,Si,NA,1,1
y7sdbrr5ce,No,No,No,No,0,0
ygjy0r3n2d,Si,NA,Si,NA,1,1
yk9l51x5a4,Si,NA,Si,NA,1,1
z8wzbqn0pn,Si,NA,Si,NA,1,1
zcp64btqg5,No,Si,No,Si,0,0
