id,PVC_001_RAW,PVC_001_1_RAW,PVC_001_DIR,PVC_001_1_DIR,PVC_RAW_NA,PVC_DIR_NA
082yon1f8s,No,No estoy seguro,No,No estoy seguro,0,0
198ffmz813,No,No,No,No,0,0
1cz3j0oygl,No,No,No,No,0,0
1geph65310,Si,NA,Si,NA,1,1
1ql026p3y1,No,Si,No,Si,0,0
1zft2e3qp3,No,No,No,No,0,0
1zzo6hstkp,No,No,No,No,0,0
22eggg60y0,Si,NA,Si,NA,1,1
22j8z6m295,No,No,No,No,0,0
2bnosnpjg1,Si,NA,Si,NA,1,1
2bx6a27wgy,No,No,No,No,0,0
2kjksz3dk6,No,No estoy seguro,No,No estoy seguro,0,0
2mywdvql6d,No,Si,No,Si,0,0
30jdzb9h5k,No,No,No,No,0,0
33cfoos1cj,Si,NA,Si,NA,1,1
34g5faf8dk,No,No estoy seguro,No,No estoy seguro,0,0
3hcye28j4f,Si,NA,Si,NA,1,1
3kgh8q2chr,Si,NA,Si,NA,1,1
3l1rjzr1fa,No,Si,No,Si,0,0
3ncvz1y8n3,Si,NA,Si,NA,1,1
3xbk959gyo,No,No,No,No,0,0
4213z28ad7,Si,NA,Si,NA,1,1
4fqkay53v1,No,Si,No,Si,0,0
4j7j7cqxla,No,Si,No,Si,0,0
4lyok1kabv,Si,NA,Si,NA,1,1
4scghjtvfc,No,Si,No,Si,0,0
4upg4vr5tz,Si,NA,Si,NA,1,1
4xyj6fx8w9,No,No estoy seguro,No,No estoy seguro,0,0
5hy23ac493,No,Si,No,Si,0,0
5jwndyfo63,No,Si,No,Si,0,0
5lh5jn8ogo,Si,NA,Si,NA,1,1
5pq1892xr2,Si,NA,Si,NA,1,1
5ze99wwyzg,No,No estoy seguro,No,No estoy seguro,0,0
721nldl3hk,Si,NA,Si,NA,1,1
7b3vrfl7yx,Si,NA,Si,NA,1,1
7dsu96rh9s,Si,NA,Si,NA,1,1
7mr0sg6y83,No,Si,No,Si,0,0
7pbuln5m01,No,No,No,No,0,0
7vxgxt0rc5,Si,NA,Si,NA,1,1
7z8bcdbqgl,Si,NA,Si,NA,1,1
8evkdzrlyq,No,Si,No,Si,0,0
8g2ukdmqya,Si,NA,Si,NA,1,1
8khkqwrctk,No,No estoy seguro,No,No estoy seguro,0,0
8vmbbnagsa,No,No estoy seguro,No,No estoy seguro,0,0
90kkx9ja4q,No,Si,No,Si,0,0
92vkkqc5mv,No,No,No,No,0,0
96zsxy7sba,Si,NA,Si,NA,1,1
9k2579rrx7,Si,NA,Si,NA,1,1
9vs3bc7s4y,Si,NA,Si,NA,1,1
aa8r46b3ux,Si,NA,Si,NA,1,1
ag8zd67dhr,No,Si,No,Si,0,0
ah7t5bzpf3,No,No,No,No,0,0
aophl7k2k6,No,Si,No,Si,0,0
b7f4hnqpg2,No,No estoy seguro,No,No estoy seguro,0,0
bale3xl06k,No,Si,No,Si,0,0
brjht9nmu9,Si,NA,Si,NA,1,1
bwt12n9qj9,No,No,No,No,0,0
by7v8bl7of,No,No,No,No,0,0
c5el7ygpwu,No,No estoy seguro,No,No estoy seguro,0,0
c7fryfrpnh,No,No,No,No,0,0
c7ws8fexjx,Si,NA,Si,NA,1,1
c8rjnz79uk,Si,NA,Si,NA,1,1
chylxjtm09,Si,NA,Si,NA,1,1
cj35eze74r,No,Si,No,Si,0,0
cuvccwkcqj,Si,NA,Si,NA,1,1
d3gr4hqn2z,Si,NA,Si,NA,1,1
d4qoclrg90,Si,NA,Si,NA,1,1
dbq0df9rfa,Si,NA,Si,NA,1,1
dmlwcyjwfw,Si,NA,Si,NA,1,1
dtpgk4je3a,Si,NA,Si,NA,1,1
dygujm00v6,No,No,No,No,0,0
e4jxvwy2w0,Si,NA,Si,NA,1,1
el7knnbhqc,No,No,No,No,0,0
er00j5kzhv,Si,NA,Si,NA,1,1
f434fd4yec,No,No,No,No,0,0
fkw2jdm33r,Si,NA,Si,NA,1,1
fp5c2zkmq4,Si,NA,Si,NA,1,1
fu71sdtqp7,Si,NA,Si,NA,1,1
g4bda40oys,Si,NA,Si,NA,1,1
gfna40535s,No,No,No,No,0,0
gl63qscfdn,No,Si,No,Si,0,0
gwym2q1qky,No,No estoy seguro,No,No estoy seguro,0,0
h1x9g6sjrs,Si,NA,Si,NA,1,1
h8dfofhvsb,No,No estoy seguro,No,No estoy seguro,0,0
hdtb13mmor,Si,NA,Si,NA,1,1
hjk5lhv6bh,Si,NA,Si,NA,1,1
hnwz3n1x6l,Si,NA,Si,NA,1,1
hov7c4x4b9,Si,NA,Si,NA,1,1
hvb9n26qad,No,No,No,No,0,0
hxjxf5t7sf,Si,NA,Si,NA,1,1
hzxmlt4vqa,No,No,No,No,0,0
jxavvx33u1,Si,NA,Si,NA,1,1
k5jdafw8jo,Si,NA,Si,NA,1,1
k61mmqq74b,No,No,No,No,0,0
kcjs9my0kw,Si,NA,Si,NA,1,1
kcuj05m365,Si,NA,Si,NA,1,1
kdf65a9ce8,No,Si,No,Si,0,0
kjtm4pkgfv,Si,NA,Si,NA,1,1
ks5az3o4qg,No,Si,No,Si,0,0
ktyyhwndcl,Si,NA,Si,NA,1,1
kyvg85eh82,No,Si,No,Si,0,0
